id,value
220185216,0.0
23415206,0.0
220185219,0.0
39750394,0.031200000000000002
39750395,0.0085
39750707,0.0
222296334,0.0
41962480,0.0329
46147616,0.0206
47156874,0.0087
69255002,0.0279
69255004,0.0308
222430798,0.8024
222476883,0.4446
5944863,0.0
224933896,0.0
23575849,0.0
238465508,0.5075
76473017,0.0
245392137,0.5128
23575850,0.0
287202607,0.9076000000000001
399133902,0.4971
23575851,0.0
411441206,0.4301
120453784,0.0
23575852,0.0
120453785,0.0
23575853,0.0
120453786,0.0
120453788,0.0
120453789,0.0
120453790,0.0
120453791,0.0
120453792,0.0
120453793,0.0
23575854,0.0
6244409,0.0
120453794,0.0
23627112,0.9614
6244416,0.0026
437957005,0.0
6244417,0.0028000000000000004
120453795,0.0
6244418,0.0
7921114,0.0040999999999999995
437957006,0.0
481473234,0.3885
551467599,0.2863
23721796,0.0
129649457,0.0
7921118,0.009000000000000001
23721797,0.0
129720534,0.0
7921119,0.0059
23721798,0.0
129720537,0.0
23721805,0.0
129720539,0.0
9403843,0.0
129720540,0.0
9403844,0.0
136172854,0.0
164907985,0.0
9403848,0.0
23741801,0.0
164907987,0.0
164907988,0.0
9403849,0.0026
9403850,0.3171
170983516,0.0070999999999999995
186330647,0.0206
24406708,0.0
192239204,0.0233
192239205,0.031
24406967,0.0012
192239212,0.019299999999999998
24515479,0.0
192239221,0.0128
24515480,0.0
198276946,0.019799999999999998
202027383,0.0
24515481,0.0
203006695,0.0
203006696,0.0
203006698,0.0
24515482,0.0
203006701,0.0
203006703,0.0
232584068,0.0
24540475,0.0
236498402,0.029300000000000003
24797003,0.976
253184031,0.0292
25009254,0.0
255425691,0.0
25009257,0.0
261683285,0.0134
261683287,0.0111
25009266,0.0
25009418,0.0
25009538,0.0
25474639,0.0
25510587,0.0
9923792,0.0
11937831,0.0
11937833,0.0
25944807,0.0
25944808,0.0
261683294,0.0236
25944809,0.0
261683297,0.0098
264335162,0.0236
264335182,0.0172
264435405,0.028300000000000002
264435406,0.0236
25944811,0.0
264435407,0.014199999999999999
25945045,0.0
264435408,0.025
264435409,0.027999999999999997
25951202,0.0
26204502,0.0
11937835,0.0
264435410,0.0194
11937837,0.0
26204503,0.0
264435411,0.025699999999999997
11937838,0.0
26204506,0.0
264435422,0.0
266886320,0.0147
11937839,0.0
266886321,0.0348
11937840,0.0
11937842,0.0
11937845,0.0
266886324,0.0321
266886327,0.0326
26204507,0.0
11937848,0.006
266886344,0.0
11937850,0.0
267967082,0.0336
267967083,0.0225
267967084,0.009000000000000001
22932079,0.0403
22932081,0.0
267967085,0.0169
267967086,0.016399999999999998
22932082,0.0
267967087,0.0179
23084634,0.0
267967088,0.016200000000000003
267967137,0.0097
23084639,0.0
272761437,0.0
272761439,0.0
23084642,0.0
23084644,0.0
289220397,0.0271
23084646,0.0
296087460,0.018799999999999997
307337050,0.0
307337051,0.013300000000000001
23084648,0.0
317844665,0.0285
26208177,0.0
338119261,0.0
338972277,0.006999999999999999
5078532,0.0058
338972278,0.0149
338972279,0.0104
23084650,0.0
338972280,0.0127
338972281,0.0143
26525099,0.0
338972282,0.0131
26525126,0.0
354104802,0.0
354104803,0.0
26525174,0.0
354104804,0.0
354104805,0.0
354104806,0.0
354104807,0.0
26525267,0.0
355077810,0.0
355077835,0.0
374009657,0.025099999999999997
26525285,0.0
374009773,0.027200000000000002
26816662,0.0
374598725,0.022099999999999998
374598731,0.027000000000000003
374876838,0.0096
375904695,0.0
376865281,0.0233
26816663,0.0
376865282,0.020099999999999996
27061097,0.0
380472644,0.024399999999999998
381501631,0.0218
381501646,0.022799999999999997
27132761,0.0
27166172,0.0
382340079,0.0215
27466025,0.0
384760707,0.0131
27466026,0.10679999999999999
385714724,0.0109
23084652,0.0
28351479,0.0
5078533,0.0
23084654,0.0
28812698,0.0
389270910,0.0
23084656,0.0
390395949,0.0
5078534,0.0
5078540,0.0
390482939,0.0
5078656,0.0
30717439,0.0
390482951,0.0028000000000000004
391919757,0.0
391919758,0.0
30717442,0.024300000000000002
5078657,0.0
391919759,0.0
33001014,0.0
391919760,0.0
391919761,0.0
33995589,0.0089
33995590,0.0
391919762,0.0
391919763,0.0
33996099,0.001
406039945,0.0
34212884,0.0
412525158,0.0
443366019,0.0
443946908,0.0
444874033,0.0
444874034,0.0
34212895,0.0
444874035,0.0
492960910,0.0
34212896,0.0
492960911,0.0
492974661,0.0
35966718,0.99
534218257,0.0
534218258,0.0
534218259,0.0
534965678,0.0233
23084659,0.0
547489951,0.014499999999999999
572897913,0.0478
23084660,0.0
583161501,0.0
36776657,0.0
583161502,0.0
23084661,0.0
36776658,0.0
583161504,0.0
23084662,0.0
36776659,0.0
23084663,0.008100000000000001
583583773,0.0
23084664,0.0
36944098,0.0
5078658,0.0
23084665,0.0
36944099,0.0
583583774,0.0
583583775,0.0
23084666,0.0
592688590,0.0178
592688591,0.015300000000000001
23084667,0.0
5078659,0.0
655402948,0.0098
655402949,0.0088
655402950,0.0053
5078660,0.0
735203239,0.0
5078661,0.0
36944100,0.0
740975581,0.0
5078675,0.0886
740975582,0.0
740975583,0.0
36944101,0.0
740975584,0.0
36944102,0.0
745615672,0.0
36944103,0.0
5078676,0.13390000000000002
38040286,0.0
5078677,0.0
38329670,0.0
5236108,0.0
38480679,0.0
38480680,0.0
38480681,0.0
38480682,0.0
38480725,0.0
5236109,0.0
38480733,0.0
